A64,"Unspecified Sexually Transmitted Disease"
A69.20,"Lyme Disease, Unspecified"
B00.9,"Herpesviral Infection, Unspecified"
B17.10,"Acute Hepatitis C Without Hepatic Coma"
B18.1,"Chronic Viral Hepatitis B Without Delta-Agent"
B18.2,"Chronic Viral Hepatitis C"
B19.20,"Unspecified Viral Hepatitis C Without Hepatic Coma"
B20,"Human Immunodeficiency Virus (HIV) Disease"
B34.9,"Viral Infection, Unspecified"
B35.1,"Tinea Unguium"
B37.3,"Candidiasis Of Vulva And Vagina"
B89,"Unspecified Parasitic Disease"
B96.81,"Helicobacter Pylori (H. Pylori) As The Cause Of Diseases Classified Elsewhere"
B97.7,"Papillomavirus As The Cause Of Diseases  Specified Elsewhere"
B99.9,"Unspecified Infectious Disease"
C18.9,"Malignant Neoplasm Of Colon, Unspecified"
C20,"Malignant Neoplasm Of Rectum"
C34.90,"Malignant Neoplasm Of Unspecified Part Of  Unspecified Bronchus Or Lung"
C50.419,"Malignant Neoplasm Of Upper-Outer Quadrant Of Unspecified Female Breast"
C50.911,"Malignant Neoplasm Of Unspecified Site Of  Right Female Breast"
C50.912,"Malignant Neoplasm Of Unspecified Site Of  Left Female Breast"
C50.919,"Malignant Neoplasm Of Unspecified Site Of  Unspecified Female Breast"
C54.9,"Malignant Neoplasm Of Corpus Uteri, Unspecified"
C56.1,"Malignant Neoplasm Of Right Ovary"
C56.2,"Malignant Neoplasm Of Left Ovary"
C56.9,"Malignant Neoplasm Of Unspecified Ovary"
C61,"Malignant Neoplasm Of Prostate"
C67.9,"Malignant Neoplasm Of Bladder, Unspecified"
C73,"Malignant Neoplasm Of Thyroid Gland"
C79.51,"Secondary Malignant Neoplasm Of Bone"
C79.52,"Secondary Malignant Neoplasm Of Bone Marrow"
C85.80,"Other Specified Types Of Non-Hodgkins Lymphoma, Unspecified Site"
C90.00,"Multiple Myeloma Not Having Achieved Remission"
D51.0,"Vitamin B12 Deficiency Anemia Due To  Intrinsic Factor Deficiency"
D51.2,"Transcobalamin 2 Deficiency"
D51.3,"Other Dietary Vitamin B12 Deficiency Anemia"
D51.8,"Other Vitamin B12 Deficiency Anemia"
D51.9,"Vitamin B12 Deficiency Anemia, Unspecified"
D64.9,"Anemia, Unspecified"
D68.318,"Other Hemorrhagic Disorder Due To Intrinsic Circulating Anticoagulants, Antibodies, Or Inhibitors"
D68.59,"Other Primary Thrombophilia"
D68.9,"Coagulation Defect, Unspecified"
D69.6,"Thrombocytopenia, Unspecified"
D70.9,"Neutropenia, Unspecified"
D72.819,"Decreased White Blood Cell Count, Unspecified"
D72.829,"Elevated White Blood Cell Count, Unspecified"
D72.89,"Other Specified Disorders Of White Blood Cells"
E03.8,"Other Specified Hypothyroidism"
E03.9,"Hypothyroidism, Unspecified"
E04.1,"Nontoxic Single Thyroid Nodule"
E04.2,"Nontoxic Multinodular Goiter"
E04.9,"Nontoxic Goiter, Unspecified"
E05.00,"Thyrotoxicosis With Diffuse Goiter  Without Thyrotoxic Crisis Or Storm"
E06.3,"Autoimmune Thyroiditis"
E07.9,"Disorder Of Thyroid, Unspecified"
E10.9,"Type 1 Diabetes Mellitus Without Complications"
E11.21,"Type 2 Diabetes Mellitus With Diabetic Nephropathy"
E11.22,"Type 2 Diabetes Mellitus With Diabetic Chronic  Kidney Disease"
E11.41,"Type 2 Diabetes Mellitus With Other  Diabetic Mononeuropathy"
E11.42,"Type 2 Diabetes Mellitus With Other  Diabetic Polyneuropathy"
E11.43,"Type 2 Diabetes Mellitus With Other  Diabetic Autonomic (Poly) Neuropathy"
E11.43,"Type 2 Diabetes Mellitus With Other Diabetic  Autonomic (Polyneuropathy) Neuropathy"
E11.44,"Type 2 Diabetes Mellitus With Other  Diabetic Amyotrophy"
E11.8,"Type 2 Diabetes Mellitus With  Unspecified Complications"
E11.9,"Type 2 Diabetes Mellitus Without Complications"
E16.2,"Hypoglycemia, Unspecified"
E21.3,"Hyperparathyroidism, Unspecified"
E28.2,"Polycystic Ovarian Syndrome"
E29.1,"Testicular Hypofunction"
E34.9,"Endocrine Disorder, Unspecified"
E53.9,"Vitamin B Deficiencies, Unspecified"
E55.9,"Vitamin D Deficiency, Unspecified"
E56.9,"Vitamin Deficiency, Unspecified"
E66.01,"Morbid (Severe) Obesity Due To Excess Calories"
E66.2,"Morbid (Severe) Obesity Due To Alveolar Hypoventilation"
E66.3,"Overweight"
E66.9,"Obesity, Unspecified"
E73.0,"Congenital Lactase Deficiency"
E73.1,"Secondary Lactase Deficiency"
E73.8,"Other Lactose Intolerance"
E73.9,"Lactose Intolerance, Unspecified"
E74.31,"Sucrose-Isomaltase Deficiency"
E74.39,"Other Disorders Of Intestinal Carbohydrate Absorption"
E78.0,"Pure Hypercholesterolemia"
E78.1,"Pure Hyperglyceridemia"
E78.2,"Mixed Hyperlipidemia"
E78.5,"Hyperlipidemia, Unspecified"
E78.9,"Disorder Of Lipoprotein Metabolism, Unspecified"
E83.10,"Disorder Of Iron Metabolism, Unspecified"
E83.40,"Disorders Of Magnesium Metabolism, Unspecified"
E83.51,"Hypocalcemia"
E83.52,"Hypercalcemia"
E86.0,"Dehydration"
E87.1,"Hypo osmolality And Hyponatremia"
E87.5,"Hyperkalemia"
E87.6,"Hypokalemia"
E87.8,"Other Disorders Of Electrolyte And Fluid Balance,  Not Elsewhere Classified"
E88.81,"Metabolic Syndrome"
E89.0,"Postprocedural Hypothyroidism"
F11.20,"Opioid Dependence, Uncomplicated"
F17.200,"Nicotine Dependence, Unspecified, Uncomplicated"
F41.1,"Generalized Anxiety Disorder"
F41.9,"Anxiety Disorder, Unspecified"
F52.21,"Male Erectile Disorder"
F52.22,"Female Sexual Arousal Disorder"
F90.0,"Attention Deficit Hyperactivity Disorder,  Predominantly Inattentive Type"
F90.9,"Attention-Deficit Hyperactivity Disorder,  Unspecified Type"
G35,"Multiple Sclerosis"
G40.909,"Epilepsy, Unspecified, Not Intractable,  Without Status Epilepticus"
G43.909,"Migraine, Unspecified, Not Intractable,  Without Status Migrainosus"
G45.9,"Transient Cerebral Ischemic Attack, Unspecified"
G47.00,"Insomnia, Unspecified"
G47.30,"Sleep Apnea, Unspecified"
G60.9,"Hereditary And Idiopathic Neuropathy, Unspecified"
G89.29,"Other Chronic Pain"
I10,"Essential (Primary) Hypertension"
I11.9,"Hypertensive Heart Disease Without Heart Failure"
I25.10,"Atherosclerotic Heart Disease Of Native Coronary Artery Without Angina Pectoris"
I26.09,"Other Pulmonary Embolism With Acute Cor Pulmonale"
I34.8,"Other Nonrheumatic Mitral Valve Disorders"
I35.9,"Nonrheumatic Aortic Valve Disorder, Unspecified"
I42.8,"Other Cardiomyopathy"
I48.91,"Unspecified Atrial Fibrillation"
I49.8,"Other Specified Cardiac Arrhythmias"
I49.9,"Cardiac Arrhythmia, Unspecified"
I50.9,"Heart Failure, Unspecified"
I51.9,"Heart Disease, Unspecified"
I63.50,"Cerebral Infarction Due To Unspecified Occlusion  Or Stenosis Of Unspecified Cerebral Artery"
I65.29,"Occlusion And Stenosis Of Unspecified Carotid Artery,  Not Resulting In Cerebral Infarction"
I67.89,"Other Cerebrovascular Disease"
I80.299,"Phlebitis And Thrombophlebitis Of Other Deep Vessels Of Unspecified Lower Extremities"
I82.409,"Acute Embolism And Thrombosis Of Unspecified  Deep Veins Of Unspecified Lower Extremity"
I82.90,"Acute Embolism And Thrombosis Of Unspecified Vein"
I82.91,"Chronic Embolism And Thrombosis Of Unspecified Vein"
J00,"Acute Nasopharyngitis (Common Cold)"
J01.90,"Acute Sinusitis, Unspecified"
J02.0,"Streptococcal Pharyngitis"
J02.9,"Acute Pharyngitis, Unspecified"
J03.90,"Acute Tonsillitis, Unspecified"
J06.9,"Acute Upper Respiratory Infection, Unspecified"
J18.9,"Pneumonia, Unspecified Organism"
J20.9,"Acute Bronchitis, Unspecified"
J30.1,"Allergic Rhinitis Due To Pollen"
J30.89,"Other Allergic Rhinitis"
J30.9,"Allergic Rhinitis, Unspecified"
J31.0,"Chronic Rhinitis"
J32.9,"Chronic Sinusitis, Unspecified"
J44.9,"Chronic Obstructive Pulmonary Disease, Unspecified"
J45.909,"Unspecified Asthma, Uncomplicated"
K21.0,"Gastro-Esophageal Reflux Disease With Esophagitis"
K21.9,"Gastro-Esophageal Reflux Disease Without Esophagitis"
K29.00,"Acute Gastritis Without Bleeding"
K29.70,"Gastritis, Unspecified Without Bleeding"
K29.9,"Gastoduodenitis, Unspecified Without Bleeding"
K30,"Functional Dyspepsia"
K31.9,"Other Diseases Of Stomach And Duodenum"
K50.90,"Crohn's Disease, Unspecified, Without Complications"
K50.911,"Crohn's Disease, Unspecified, With Rectal Bleeding"
K50.912,"Crohn's Disease, Unspecified,  With Intestinal Obstruction"
K50.913,"Crohn's Disease, Unspecified, With Fistula"
K50.914,"Crohn's Disease, Unspecified, With Abscess"
K50.918,"Crohn's Disease, Unspecified, With Other Complications"
K50.919,"Crohn's Disease, Unspecified, With Unspecified Complications"
K92.2,"Gastrointestinal Hemorrhage, Unspecified"
L02.419,"Abscess Of Lower Limb"
L02.91,"Cutaneous Abscess, Unspecified"
L03.119,"Cellulitis Of Lower Limb"
L03.90,"Cellulitis, Unspecified"
L08.9,"Local Infection Of The Skin And Subcutaneous Tissue, Unspecified"
L20.89,"Other Atopic Dermatitis"
L25.9,"Unspecified Contact Dermatitis, Unspecified Cause"
L30.9,"Dermatitis, Unspecified"
L40.50,"Arthropathic Psoriasis, Unspecified"
L40.8,"Other Psoriasis"
L50.9,"Urticaria, Unspecified"
L65.9,"Nonscarring Hair Loss, Unspecified"
L68.0,"Hirsutism"
L70.8,"Other Acne"
L72.3,"Sebaceous Cyst"
L98.9,"Disorder Of The Skin And Subcutaneous Tissue, Unspecified"
M06.4,"Inflammatory Polyarthropathy"
M06.9,"Rheumatoid Arthritis, Unspecified"
M10.00,"Idiopathic Gout, Unspecified Site"
M10.9,"Gout, Unspecified"
M12.9,"Arthropathy, Unspecified"
M13.0,"Polyarthritis, Unspecified"
M15.9,"Polyosteoarthritis, Unspecified"
M19.90,"Unspecified Osteoarthritis, Unspecified Site"
M25.50,"Pain In Unspecified Joint"
M25.519,"Pain In Unspecified Shoulder"
M25.561,"Pain In Right Knee"
M25.562,"Pain In Left Knee"
M25.571,"Pain In Right Ankle And Joints Of Right Foot"
M25.572,"Pain In Left Ankle And Joints Of Left Foot"
M25.579,"Pain In Unspecified Ankle And Joints Of  Unspecified Foot"
M32.9,"Systemic Lupus Erythematosus, Unspecified"
M35.00,"Sicca Syndrome, Unspecified"
M35.3,"Polymyalgia Rheumatica"
M54.5,"Low Back Pain"
M54.9,"Dorsalgia, Unspecified"
M60.9,"Myositis"
M62.81,"Muscle Weakness (Generalized)"
M62.838,"Other Muscle Spasm"
M79.1,"Myalgia"
M80.00,"Age-Related Osteoporosis With Current Pathological Fracture, Unspecified Site"
M81.0,"Age-Related Osteoporosis Without Current Pathological Fracture"
M89.9,"Disorder Of Bone, Unspecified"
M94.9,"Disorder Of Cartilage, Unspecified"
N17.9,"Acute Kidney Failure, Unspecified"
N18.1,"Chronic Kidney Disease, Stage 1"
N18.2,"Chronic Kidney Disease, Stage 2 (Mild)"
N18.3,"Chronic Kidney Disease, Stage 3 (Moderate)"
N18.4,"Chronic Kidney Disease, Stage 4 (Severe)"
N18.9,"Chronic Kidney Disease, Unspecified"
N19,"Unspecified Kidney Failure"
N20.0,"Calculus Of Kidney"
N25.81,"Secondary Hyperparathyroidism Of Renal Origin"
N28.9,"Disorder Of Kidney And Ureter, Unspecified"
N30.00,"Acute Cystitis Without Hematuria"
N30.01,"Acute Cystitis With Hematuria"
N30.90,"Cystitis, Unspecified Without Hematuria"
N30.91,"Cystitis, Unspecified With Hematuria"
N36.9,"Urethral Disorder"
N39.0,"Urinary Tract Infection, Site Not Specified"
N39.9,"Urinary System Disorder"
N40.0,"Enlarged Prostate Without Lower Urinary  Tract Symptoms (LUTS)"
N40.1,"Enlarged Prostate With Lower Urinary Tract"
N41.9,"Inflammatory Disease Of Prostate, Unspecified"
